PDF Name,Original URL,Final URL,HTTP Status,Redirect Count,Reason,Content-Type,Page Title,Body Snippet
1007817 Business Plan Template.Docx,https://www.business.hsbc.uk/-/media/media/uk/pdfs/1007817-business-plan-template.docx,https://www.business.hsbc.uk/-/media/media/uk/pdfs/1007817-business-plan-template.docx,200,0,OK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,
1008189 Gps Case Study Pdf Rework S1 V14,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/1008189-gps-case-study-pdf-rework-s1-v14.pdf,https://www.business.hsbc.uk/en-gb,200,1,OK,text/html; charset=utf-8,Grow your business with HSBC Business Banking | HSBC UK,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Grow your business with HSBC Business Banking | HSBC UK .jsTITs{-webkit-align-self:stretch;-ms-flex-item-align:stretch;align-self:stretch;}/*!sc*/ .iwNDcP{left:0;position:absolute;}/*!sc*/ data-styled.g3[id=""Box-sc-qbwqq9-0""]{content:""jsTITs,iwNDcP"
240221 Annual Report And Accounts 2023,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2023/annual/pdfs/hsbc-uk-bank-plc/240221-annual-report-and-accounts-2023.pdf,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2023/annual/pdfs/hsbc-uk-bank-plc/240221-annual-report-and-accounts-2023.pdf,200,0,OK,application/pdf,,
8 Steps To Make Your Business More Inclusive And Diverse,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/8-steps-to-make-your-business-more-inclusive-and-diverse.pdf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/8-steps-to-make-your-business-more-inclusive-and-diverse.pdf,200,0,OK,application/pdf,,
Adding A New User Profile For Rf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/adding-a-new-user-profile-for-rf.pdf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/adding-a-new-user-profile-for-rf.pdf,200,0,OK,application/pdf,,
Additional Partners Trustees Executors Administrators Of Deceased Estates,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/additional-partners-trustees-executors-administrators-of-deceased-estates.pdf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/additional-partners-trustees-executors-administrators-of-deceased-estates.pdf,200,0,OK,application/pdf,,
Aged Debtor Report Template,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/aged-debtor-report-template.xlsx,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/aged-debtor-report-template.xlsx,200,0,OK,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,
Ai Fraud Awareness Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/ai-fraud-awareness-guide.pdf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/ai-fraud-awareness-guide.pdf,200,0,OK,application/pdf,,
Apply For Seller Loan,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/apply-for-seller-loan.pdf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/apply-for-seller-loan.pdf,200,0,OK,application/pdf,,
Applying To Borrow,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/applying-to-borrow.pdf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/applying-to-borrow.pdf,200,0,OK,application/pdf,,
Asia Europe Corridor Outlook,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/asia-europe-corridor-outlook.pdf,https://www.business.hsbc.uk/notfound-404,200,2,SOFT_404_REDIRECT,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
Asset Based Lending Product Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/asset-based-lending-product-guide.pdf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/asset-based-lending-product-guide.pdf,200,0,OK,application/pdf,,
Asset Finance Product Guide 2024 Final,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/asset-finance-product-guide-2024-final.pdf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/asset-finance-product-guide-2024-final.pdf,200,0,OK,application/pdf,,
Assignment Clauses,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/assignment-clauses.pdf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/assignment-clauses.pdf,200,0,OK,application/pdf,,
Briefing Hsbc 2022 Ready To Respond,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/briefing-hsbc-2022-ready-to-respond.pdf,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/briefing-hsbc-2022-ready-to-respond.pdf,200,0,OK,application/pdf,,
Business Banking Price List,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-banking-price-list.pdf,https://www.business.hsbc.uk/-/media/media/uk/PDFs/regulations/business-price-list.pdf,200,1,OK,application/pdf,,
