Row Number,PDF Name,Original URL,Final URL,HTTP Status,Reason,Review Category,Source Category,Content-Type,Page Title,Body Snippet
21,Go Greener Sme Reward,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/go-greener-sme-reward.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Products,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
29,Hsbc Uk Forward Planning 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-uk-forward-planning-2025.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Campaigns,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
65,Managing Service Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/managing-service-guide.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Campaigns,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
85,Receivables Finance Brochure,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/receivables-finance-brochure.pdf?download=1,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Products,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
95,Receivables Finance Brochure,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/receivables-finance-brochure.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,GIB/RF/IIF,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
114,Receivables Finance Brochure,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/receivables-finance-brochure.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Products,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
134,Capex Report 2024,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/capex-report-2024.pdf,https://www.business.hsbc.uk/products/asset-finance,200,OK,ALT_LANDING_PAGE_NON_PDF,Campaigns,text/html; charset=utf-8,Asset Finance | Commercial Banking | HSBC,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Asset Finance | Commercial Banking | HSBC .iwNDcP{left:0;position:absolute;}/*!sc*/ .jsTITs{-webkit-align-self:stretch;-ms-flex-item-align:stretch;align-self:stretch;}/*!sc*/ data-styled.g3[id=""Box-sc-qbwqq9-0""]{content:""iwNDcP,jsTITs,iiYTCe,""}/*!s"
144,Business Money Manager Account Summary Sheet,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/self-services/business-money-manager-account-summary-sheet.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Self-Service,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
161,Notice Of Variation For Small Business Banking And Business Banking Customers,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/self-services/notice-of-variation-for-small-business-banking-and-business-banking-customers.pdf,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Self-Service,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
162,Invoice Finance Sales,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/invoice-finance-sales.pdf?download=1,https://www.business.hsbc.uk/notfound-404,200,SOFT_404_REDIRECT,SOFT_404,Products,text/html; charset=utf-8,Page not found,"window['pwsrefresh_currentSiteLanguage'] = 'en-GB'; Page not found .iZmknQ{font-family:UniversNext,Arial,sans-serif;margin:0;padding:0;text-align:left;font-size:16px;font-weight:400;line-height:normal;-webkit-letter-spacing:normal;-moz-letter-spacing:normal;-ms-letter-spacing:normal;letter-spacing:n"
