PDF Name,URL,Category,Total Traffic,Priority Tier,Axes Audit Status,Date Audited,PDF/ UA Reults,WCAG Reults,Link to Audit report,PDF/UA Notes,WCAG Notes,Remediation Status,Adobe Acrobat Audit Status,Remediation Notes,Re-test Result,Link to Audit report,3rd Re-test Result,Link to Audit report
Mandate For General Organisations,Open PDF,Forms,"22,503",Tier 1,Complete,23/03/2026,Pass,Pass,https://check.axes4.com/en/result/fb026c2f-d052-4e2f-b111-427dacd55e87,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Complete,Complete,All cheks passed ,,,,
Business Price List,Open PDF,Regulations,"20,720",Tier 1,Complete,24/03/2026,Pass,Fail,https://check.axes4.com/en/result/6bbb5e63-b1f2-4268-b63b-117e2bc57407,,"There are 37 places in the document where the colour of the text isn't different enough from the colour behind it, making it harder to read.",Not Started,Not Started,,,,,
Hsbcuk Account Closure Form,Open PDF,General,"11,416",Tier 1,Complete,25/03/2026,Pass,Pass,https://check.axes4.com/en/result/439d0330-06a0-4644-8ae9-f0214d8088ca,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Change Of Address Form,Open PDF,Solutions,"3,634",Tier 1,Complete,25/03/2026,Fail,Fail,https://check.axes4.com/en/result/69d49c9e-3c20-4c9c-a485-6d1e0810af2b,"The PDF's document properties don't have a proper title set, or the PDF is configured to show the filename in the title bar instead of a meaningful title. ","the document is missing bookmarks. If the PDF is longer than a few pages and has no bookmark panel, that's a failure, users (including screen reader users) have no way to jump between sections.",Not Started,Not Started,,,,,
Business Banking Terms And Conditions,Open PDF,Regulations,"3,051",Tier 1,Complete,24/03/2026,Fail,Fail,https://check.axes4.com/en/result/1e01e647-ff46-4520-954f-d1305ac9a281,there's at least one element in the PDF that's using an incorrect or invalid tag type.,"WCAG Failures,1.3 Adaptable 2 failures, there are two places where the visual structure of the document isn't reflected in the tags. 1.4 Distinguishable, 5  instances of text that doesn't meet the 4.5:1 (normal text) or 3:1 (large text) contrast ratio. 4.1 Compatible The 6 warnings likely mean there are interactive elements (links, form fields, or buttons) where the accessible name or role isn't quite right but isn't definitively broken",Not Started,Not Started,,,,,
Invoice Discounting Smart Form,Open PDF,GIB/RF/IIF,"2,877",Tier 1,Complete,24/03/2026,Fail,Fail,https://check.axes4.com/en/result/101ad5eb-3b5b-4a0e-8a3a-b23643600f64,"Basic reuriments 
Fonts, 1 failure
Natural language, 14

Metadata and Settings
Metadata, 2 failures
Document settings, 2 failures","1 Perceivable
1.3 Adaptable, 1 Failures

2 Operable
2.4 Navigable, 2 Failures

3 Understandable
3.1 Readable, 14 Failures",Not Started,Not Started,,,,,
Business Deposit Card Application Form,Open PDF,Solutions,"2,546",Tier 1,Complete,24/03/2026,Fail,Fail,,"Basic Requirements
Content, 446 failures","1 Perceivable
1.3 Adaptable, 446 Failures",Not Started,Not Started,,,,,
Managing Service Guide,Open PDF,Campaigns,"2,260",Tier 1,Blocked,24/03/2026,,,404,404,404,N/A,Blocked,404,,,,
Mandate Continuation Sheet For Additional Signatories,Open PDF,Forms,"1,396",Tier 1,Complete,24/03/2026,Pass,Pass,https://check.axes4.com/en/result/e740eb71-7756-4467-9d2d-8ca5ccebb5ff,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
State Recon Temp,Open PDF,GIB/RF/IIF,"1,360",Tier 1,Blocked,24/03/2026,,,Needs manual review,Xlsx FIle Needs manual review ,Xlsx FIle Needs manual review ,Not Started,Not Started,,,,,
