Source Row Number,PDF Name,URL,Control Axes Status,Our Axes Status,Axes Match,Control PDF/UA,Our PDF/UA,PDF/UA Match,Control WCAG,Our WCAG,WCAG Match,Final URL,Retrieval Category,Overall Result,Failure Summary,Control PDF/UA Notes,Our PDF/UA Notes,Control WCAG Notes,Our WCAG Notes,Adobe Acrobat Audit Status
,Mandate For General Organisations,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-general-organisations.pdf,,,False,,Pass,False,,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-general-organisations.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Business Price List,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-price-list.pdf,,,False,,Pass,False,,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-price-list.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Business Banking Terms And Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-banking-terms-and-conditions.pdf,,,False,,Pass,False,,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-banking-terms-and-conditions.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Invoice Discounting Smart Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/invoice-discounting-smart-form.pdf,,,False,Fail,Fail,True,Fail,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/invoice-discounting-smart-form.pdf,DIRECT_FILE_OK,FAIL,"At least one heading present, Document language present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,Document title metadata is missing. | PDF catalog is missing /Lang.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Global Funds Transfer,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/global-funds-transfer.pdf,,,False,Fail,Fail,True,Fail,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/global-funds-transfer.pdf,DIRECT_FILE_OK,FAIL,"At least one heading present, Document language present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,Document title metadata is missing. | PDF catalog is missing /Lang.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Hsbc Uk Womens Business Growth Initiative Report,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-uk-womens-business-growth-initiative-report.pdf,,,False,Fail,Fail,True,Fail,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-uk-womens-business-growth-initiative-report.pdf,DIRECT_FILE_OK,FAIL,"At least one heading present, Links use Link tag, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.",,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Business Debit Card Factsheet 2,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/business-debit-card-factsheet-2.pdf,,,False,Pass,Pass,True,Pass,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/business-debit-card-factsheet-2.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Guarantee And Standby Letters Of Credit Wording,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/guarantee-and-standby-letters-of-credit-wording.pdf,,,False,Fail,Fail,True,Fail,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/guarantee-and-standby-letters-of-credit-wording.pdf,DIRECT_FILE_OK,FAIL,"At least one heading present, Document language present, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.",,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Business Deposit Account Additional Conditions,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-deposit-account-additional-conditions.pdf,,,False,Pass,Pass,True,Pass,Pending Adobe,False,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-deposit-account-additional-conditions.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Commercial Card Agreement Terms,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/commercial-card-agreement-terms.pdf,,,False,,Pass,False,,Pending Adobe,False,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/commercial-card-agreement-terms.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Dp270 Setup Business User Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/dp270-setup-business-user-guide.pdf,,,False,Partial,Fail,False,Partial,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/dp270-setup-business-user-guide.pdf,DIRECT_FILE_OK,FAIL,"Figure alt text present, At least one heading present, Document title present, Bookmarks present when required, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,Document title metadata is missing. | Figure 1 is missing /Alt text. | No bookmarks found for 15-page document.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Receive Aus Factsheet Global Wallet V2,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/receive-aus-factsheet-global-wallet-v2.pdf?download=1,,,False,Partial,Fail,False,Partial,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/receive-aus-factsheet-global-wallet-v2.pdf?download=1,DIRECT_FILE_OK,FAIL,"At least one heading present, Links use Link tag, Document title present, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.",,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Invoice Discounting Brochure,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/invoice-discounting-brochure.pdf,,,False,Partial,Fail,False,Partial,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/invoice-discounting-brochure.pdf,DIRECT_FILE_OK,FAIL,"At least one heading present, Links use Link tag, Document title present, Bookmarks present when required, Tagged PDF present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.",,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Business Deposit Account,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/business-deposit-account.pdf,,,False,Pass,Pass,True,Pass,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/business-deposit-account.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Rfb1085 Financial Services Compensation Scheme Information Sheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/rfb1085-financial-services-compensation-scheme-information-sheet.pdf,,,False,Pass,Pass,True,Pass,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/rfb1085-financial-services-compensation-scheme-information-sheet.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Business Money Manager Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/business-money-manager-additional-conditions.pdf,,,False,Pass,Pass,True,Pass,Pending Adobe,False,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-money-manager-community-savings-account.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Hsbc Uk Corporate Tracker Insights Paper,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/hsbc-uk-corporate-tracker-insights-paper.pdf,,,False,Partial,Fail,False,Partial,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/article/hsbc-uk-corporate-tracker-insights-paper.pdf,DIRECT_FILE_OK,FAIL,"At least one heading present, Links use Link tag, Document title present, Bookmarks present when required, Tagged PDF present, TOC present for general documents, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.",,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Notification Of Debts Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/notification-of-debts-form.pdf,,,False,Fail,Pass,False,Fail,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/notification-of-debts-form.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Takeover Fraud Infographics,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/takeover-fraud-infographics.pdf,,,False,Pass,Pass,True,Pass,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/takeover-fraud-infographics.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Instant Advice,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/instant-advice.pdf,,,False,Pass,Pass,True,Pass,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/instant-advice.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Request For Transfer Of Letter Of Credit,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/request-for-transfer-of-letter-of-credit.pdf,,,False,Fail,Fail,True,Fail,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/request-for-transfer-of-letter-of-credit.pdf,DIRECT_FILE_OK,FAIL,"Figure alt text present, Form fields have tooltips, At least one heading present, Lists use L tag, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,List items are missing /Lbl or /LBody tags. | Document title metadata is missing. | One or more form fields are missing /TU tooltips. | Figure 1 is missing /Alt text.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Rf On Hsbcnet User Application Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/rf-on-hsbcnet-user-application-form.pdf,,,False,Pass,Pass,True,Pass,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/rf-on-hsbcnet-user-application-form.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
,Collection Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/collection-form.pdf,,,False,Pass,Pass,True,Pass,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/collection-form.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,,Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
