Source Row Number,PDF Name,URL,Control Axes Status,Our Axes Status,Axes Match,Control PDF/UA,Our PDF/UA,PDF/UA Match,Control WCAG,Our WCAG,WCAG Match,Final URL,Retrieval Category,Overall Result,Failure Summary,Control PDF/UA Notes,Our PDF/UA Notes,Control WCAG Notes,Our WCAG Notes,Adobe Acrobat Audit Status
2,Mandate For General Organisations,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-general-organisations.pdf,Complete,,False,Pass,Pass,True,Pass,Needs Review,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-general-organisations.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Adobe flagged items that need human review before a final WCAG verdict is assigned.,Complete
3,Business Price List,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-price-list.pdf,Complete,,False,Pass,Pass,True,Fail,Needs Review,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-price-list.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",,The file meets all machine-verifiable PDF/UA requirements.,"There are 37 places in the document where the colour of the text isn't different enough from the colour behind it, making it harder to read.",Adobe flagged items that need human review before a final WCAG verdict is assigned.,Complete
4,Hsbcuk Account Closure Form,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/hsbcuk-account-closure-form.pdf,Complete,,False,Pass,Pass,True,Pass,Needs Review,False,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/hsbcuk-account-closure-form.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Adobe flagged items that need human review before a final WCAG verdict is assigned.,Complete
5,Change Of Address Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/change-of-address-form.pdf,Complete,,False,Fail,Fail,True,Fail,Needs Review,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/change-of-address-form.pdf,DIRECT_FILE_OK,FAIL,"Form fields have tooltips, At least one heading present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check","The PDF's document properties don't have a proper title set, or the PDF is configured to show the filename in the title bar instead of a meaningful title. ",Document title metadata is missing. | One or more form fields are missing /TU tooltips.,"the document is missing bookmarks. If the PDF is longer than a few pages and has no bookmark panel, that's a failure, users (including screen reader users) have no way to jump between sections.",Adobe flagged items that need human review before a final WCAG verdict is assigned.,Complete
6,Business Banking Terms And Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-banking-terms-and-conditions.pdf,Complete,,False,Fail,Pass,False,Fail,Needs Review,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-banking-terms-and-conditions.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",there's at least one element in the PDF that's using an incorrect or invalid tag type.,The file meets all machine-verifiable PDF/UA requirements.,"WCAG Failures,1.3 Adaptable 2 failures, there are two places where the visual structure of the document isn't reflected in the tags. 1.4 Distinguishable, 5  instances of text that doesn't meet the 4.5:1 (normal text) or 3:1 (large text) contrast ratio. 4.1 Compatible The 6 warnings likely mean there are interactive elements (links, form fields, or buttons) where the accessible name or role isn't quite right but isn't definitively broken",Adobe flagged items that need human review before a final WCAG verdict is assigned.,Complete
7,Invoice Discounting Smart Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/invoice-discounting-smart-form.pdf,Complete,,False,Fail,Fail,True,Fail,Pending Adobe,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/invoice-discounting-smart-form.pdf,DIRECT_FILE_OK,FAIL,"At least one heading present, Document language present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check","Basic reuriments 
Fonts, 1 failure
Natural language, 14

Metadata and Settings
Metadata, 2 failures
Document settings, 2 failures",Document title metadata is missing. | PDF catalog is missing /Lang.,"1 Perceivable
1.3 Adaptable, 1 Failures

2 Operable
2.4 Navigable, 2 Failures

3 Understandable
3.1 Readable, 14 Failures",Adobe machine checks were unavailable for this file. Re-run the Adobe step before treating WCAG as final.,Not Started
8,Business Deposit Card Application Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/business-deposit-card-application-form.pdf,Complete,,False,Fail,Pass,False,Fail,Needs Review,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/business-deposit-card-application-form.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check","Basic Requirements
Content, 446 failures",The file meets all machine-verifiable PDF/UA requirements.,"1 Perceivable
1.3 Adaptable, 446 Failures",Adobe flagged items that need human review before a final WCAG verdict is assigned.,Complete
9,Managing Service Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/managing-service-guide.pdf,Blocked,,False,,,False,,Fail,False,https://www.business.hsbc.uk/notfound-404,SOFT_404,FAIL,"Unexpected landing page, URL is expected file, URL resolves",404.0,The source PDF could not be retrieved for accessibility testing.,404.0,The source PDF resolved to a not-found or non-PDF destination.,Not Started
10,Mandate Continuation Sheet For Additional Signatories,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-continuation-sheet-for-additional-signatories.pdf,Complete,,False,Pass,Pass,True,Pass,Needs Review,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-continuation-sheet-for-additional-signatories.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, Adobe accessibility check, Colour contrast machine check, Reading order machine check",The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Adobe flagged items that need human review before a final WCAG verdict is assigned.,Complete
11,State Recon Temp,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/state-recon-temp.xlsx,Blocked,,False,,,False,,Needs Review,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/state-recon-temp.xlsx,REVIEW_REQUIRED,NEEDS_MANUAL_REVIEW,"Unexpected landing page, URL is expected file",Xlsx FIle Needs manual review ,The linked asset is not a PDF. Route this row to the correct Office-file review path instead of PDF/UA testing.,Xlsx FIle Needs manual review ,"The linked asset is an Office-format file rather than a PDF, so PDF WCAG results do not apply until it is converted or reviewed in the correct format.",Not Started
12,Mandate For General Partnerships And Limited Partnerships,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-general-partnerships-and-limited-partnerships.pdf,Complete,,False,Pass,Pass,True,Pass,Needs Review,False,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-general-partnerships-and-limited-partnerships.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"Form fields have tooltips, Adobe accessibility check, Colour contrast machine check, Reading order machine check",The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Adobe flagged items that need human review before a final WCAG verdict is assigned.,Complete
13,Standard Price List Effective From 3 June 2024,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/standard-price-list-effective-from-3-june-2024.pdf,Complete,,False,Fail,Fail,True,Fail,Needs Review,False,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/standard-price-list-effective-from-3-june-2024.pdf,DIRECT_FILE_OK,FAIL,"At least one heading present, Document title present, Adobe accessibility check, Colour contrast machine check, Reading order machine check","3 fonts not embedded
20,426 content items not tagged
1 structure tree warning
1 metadata field missing
",Document title metadata is missing.,"20,429 content items not properly tagged (1.3 Adaptable)
1 navigation failure — missing bookmarks or document title (2.4 Navigable)
1 compatibility warning — link or form field naming issue (4.1 Compatible)",Adobe flagged items that need human review before a final WCAG verdict is assigned.,Complete
14,Business Banking Price List,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-banking-price-list.pdf,Complete,,False,Pass,Pass,True,Fail,Needs Review,False,https://www.business.hsbc.uk/-/media/media/uk/PDFs/regulations/business-price-list.pdf,DIRECT_FILE_OK,NEEDS_MANUAL_REVIEW,"At least one heading present, Adobe accessibility check, Colour contrast machine check, Reading order machine check",The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable PDF/UA requirements.,37 colour contrast failures (1.4 Distinguishable),Adobe flagged items that need human review before a final WCAG verdict is assigned.,Complete
