Source Row Number,PDF Name,URL,Control Axes Status,Our Axes Status,Axes Match,Control PDF/UA,Our PDF/UA,PDF/UA Match,Control WCAG,Our WCAG,WCAG Match,Final URL,Retrieval Category,Overall Result,Failure Summary,Control PDF/UA Notes,Our PDF/UA Notes,Control WCAG Notes,Our WCAG Notes,Adobe Acrobat Audit Status
2,Mandate For General Organisations,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-general-organisations.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
3,Business Price List,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-price-list.pdf,Complete,Blocked,False,Pass,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",,The source PDF could not be retrieved for accessibility testing.,"There are 37 places in the document where the colour of the text isn't different enough from the colour behind it, making it harder to read.",The source PDF resolved to a not-found or non-PDF destination.,Not Started
4,Hsbcuk Account Closure Form,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/hsbcuk-account-closure-form.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
5,Change Of Address Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/change-of-address-form.pdf,Complete,Blocked,False,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","The PDF's document properties don't have a proper title set, or the PDF is configured to show the filename in the title bar instead of a meaningful title. ",The source PDF could not be retrieved for accessibility testing.,"the document is missing bookmarks. If the PDF is longer than a few pages and has no bookmark panel, that's a failure, users (including screen reader users) have no way to jump between sections.",The source PDF resolved to a not-found or non-PDF destination.,Not Started
6,Business Banking Terms And Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-banking-terms-and-conditions.pdf,Complete,Blocked,False,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",there's at least one element in the PDF that's using an incorrect or invalid tag type.,The source PDF could not be retrieved for accessibility testing.,"WCAG Failures,1.3 Adaptable 2 failures, there are two places where the visual structure of the document isn't reflected in the tags. 1.4 Distinguishable, 5  instances of text that doesn't meet the 4.5:1 (normal text) or 3:1 (large text) contrast ratio. 4.1 Compatible The 6 warnings likely mean there are interactive elements (links, form fields, or buttons) where the accessible name or role isn't quite right but isn't definitively broken",The source PDF resolved to a not-found or non-PDF destination.,Not Started
7,Invoice Discounting Smart Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/invoice-discounting-smart-form.pdf,Complete,Blocked,False,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic reuriments 
Fonts, 1 failure
Natural language, 14

Metadata and Settings
Metadata, 2 failures
Document settings, 2 failures",The source PDF could not be retrieved for accessibility testing.,"1 Perceivable
1.3 Adaptable, 1 Failures

2 Operable
2.4 Navigable, 2 Failures

3 Understandable
3.1 Readable, 14 Failures",The source PDF resolved to a not-found or non-PDF destination.,Not Started
9,Managing Service Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/managing-service-guide.pdf,Blocked,Blocked,True,,,False,,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",404.0,The source PDF could not be retrieved for accessibility testing.,404.0,The source PDF resolved to a not-found or non-PDF destination.,Not Started
10,Mandate Continuation Sheet For Additional Signatories,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-continuation-sheet-for-additional-signatories.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
11,State Recon Temp,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/state-recon-temp.xlsx,Blocked,Blocked,True,,,False,,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",Xlsx FIle Needs manual review ,The source PDF could not be retrieved for accessibility testing.,Xlsx FIle Needs manual review ,The source PDF resolved to a not-found or non-PDF destination.,Not Started
12,Mandate For General Partnerships And Limited Partnerships,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-general-partnerships-and-limited-partnerships.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
